iso,debt_2007,debt_2010,debt_2015,debt_growth2010_15,debt_growth2007_15
AFG,20.24,7.906,6.824,-1.082,-13.416
AGO,16.066,44.291,62.325,18.034,46.258999
ALB,53.432,57.72,71.886,14.166,18.454
ARE,7.853,22.236,19.419,-2.8169999,11.566
ARG,44.39,39.114,56.506,17.392,12.116
ARM,14.249,33.741,46.604,12.863,32.355
ATG,79.202,90.782,102.085,11.303,22.882999
AUS,9.682,20.48,36.827,16.347,27.145
AUT,64.80800000000001,82.288,86.175,3.8870001,21.367001
AZE,8.608000000000001,11.148,36.11,24.962,27.502001
BDI,129.613,40.284,38.38,-1.904,-91.233002
BEL,86.925,99.616,106.313,6.697,19.388
BEN,19.526,28.702,37.451,8.7489996,17.924999
BFA,25.331,29.317,30.988,1.671,5.6570001
BGD,41.913,36.618,33.95,-2.668,-7.9629998
BGR,17.457,14.275,26.898,12.623,9.441
BHR,16.346,29.709,63.306,33.597,46.959999
BHS,29.982,43.241,65.688,22.447001,35.706001
BIH,18.712,42.754,45.495,2.7409999,26.783001
BLR,18.347,39.502,59.908,20.406,41.561001
BLZ,85.976,83.212,76.258,-6.954,-9.7180004
BOL,40.506,38.52,39.668,1.148,-.838
BRA,63.743,63.045,73.697,10.652,9.9540005
BRB,51.415,70.221,103.012,32.791,51.597
BRN,.6840000000000001,1.113,3.086,1.973,2.402
BTN,75.973,57.486,115.653,58.167,39.68
BWA,8.246,19.37,17.778,-1.592,9.5319996
CAF,65.059,32.311,65.01300000000001,32.702,-.046
CAN,66.84399999999999,81.09699999999999,91.46599999999999,10.369,24.622
CHE,49.525,46.132,45.627,-.505,-3.898
CHL,3.89,8.6,17.056,8.4560003,13.166
CHN,34.469,35.113,43.9,8.7869997,9.4309998
CIV,73.997,63.048,34.694,-28.354,-39.303001
CMR,11.956,11.527,33.508,21.981001,21.552
COD,86.88500000000001,31.942,18.806,-13.136,-68.079002
COG,97.95699999999999,22.888,64.943,42.055,-33.014
COL,32.469,36.439,49.374,12.935,16.905001
COM,61.794,50.324,26.739,-23.584999,-35.055
CPV,64.981,72.43000000000001,119.332,46.902,54.351002
CRI,26.857,28.407,42.376,13.969,15.519
CYP,53.568,56.333,108.665,52.332001,55.097
CZE,27.807,38.155,40.948,2.793,13.141
DEU,63.586,81.00700000000001,70.99500000000001,-10.012,7.4089999
DJI,56.685,51.92,55.501,3.5810001,-1.184
DMA,71.765,66.804,82.419,15.615,10.654
DNK,27.339,42.879,45.636,2.757,18.297001
DOM,17.519,23.753,34.289,10.536,16.77
DZA,13.643,10.875,8.725,-2.1500001,-4.9180002
ECU,27.197,19.676,34.532,14.856,7.335
EGY,76.268,69.59,87.655,18.065001,11.387
ERI,156.656,143.764,127.126,-16.638,-29.530001
ESP,35.51,60.066,98.95399999999999,38.888,63.444
EST,3.664,6.55,10.129,3.579,6.4650002
ETH,63.062,39.62,48.616,8.9960003,-14.446
FIN,33.993,47.119,62.412,15.293,28.419001
FJI,49.876,56.158,46.149,-10.009,-3.727
FRA,64.18899999999999,81.45699999999999,96.786,15.329,32.597
FSM,25.728,29.237,26.346,-2.891,.61799997
GAB,39.693,20.509,43.924,23.415001,4.2309999
GBR,43.536,76.559,89.298,12.739,45.762001
GEO,25.5,42.4,41.199,-1.201,15.699
GHA,31.044,46.259,73.316,27.056999,42.271999
GIN,92.383,99.63800000000001,48.385,-51.252998,-43.998001
GMB,60.909,69.639,91.62300000000001,21.983999,30.714001
GNB,177.303,67.493,57.725,-9.7679996,-119.578
GNQ,.891,10.091,20.075,9.9840002,19.184
GRC,102.838,145.783,178.396,32.612999,75.557999
GRD,89.056,96.937,92.655,-4.2820001,3.599
GTM,21.339,24.107,24.255,.148,2.9159999
GUY,59.885,65.29900000000001,48.815,-16.483999,-11.07
HKG,1.035,.619,.062,-.55699998,-.97299999
HND,24.721,30.663,47.416,16.753,22.695
HRV,37.06,56.982,87.685,30.702999,50.625
HTI,34.513,17.341,30.435,13.094,-4.0780001
HUN,65.616,80.58199999999999,75.523,-5.059,9.9069996
IDN,32.333,24.525,27.25,2.7249999,-5.0830002
IND,74.027,67.458,67.20099999999999,-.257,-6.8260002
IRL,23.926,86.801,95.22,8.4189997,71.293999
IRN,12.033,12.173,17.109,4.9359999,5.0760002
IRQ,120.755,53.555,66.096,12.541,-54.659
ISL,27.335,88.265,67.59099999999999,-20.674,40.256001
ISR,72.71599999999999,70.56,64.617,-5.9429998,-8.099
ITA,99.776,115.378,132.602,17.224001,32.826
JAM,114.478,142.041,124.349,-17.691999,9.8710003
JOR,73.77,67.113,91.68300000000001,24.57,17.913
JPN,183.012,215.821,248.06,32.238998,65.047997
KAZ,5.874,10.683,23.294,12.611,17.42
KEN,38.372,44.403,52.689,8.2860003,14.317
KGZ,56.805,59.726,68.752,9.026,11.947
KHM,30.521,29.367,33.577,4.21,3.056
KIR,9.968999999999999,8.622999999999999,16.382,7.7589998,6.4130001
KNA,135.002,159.306,65.458,-93.848,-69.543999
KOR,28.651,30.825,35.943,5.118,7.2919998
KWT,11.832,11.34,10.591,-.74900001,-1.2410001
LAO,64.231,62.095,64.288,2.1930001,.057
LBN,171.023,138.391,139.076,.685,-31.947001
LBR,482.764,33.425,39.967,6.5419998,-442.797
LBY,4.095,1.608,65.41200000000001,63.804001,61.317001
LCA,55.397,62.378,82.98,20.601999,27.583
LKA,84.997,81.90900000000001,74.429,-7.48,-10.568
LSO,58.163,35.245,59.974,24.729,1.811
LTU,16.653,36.28,42.468,6.1880002,25.815001
LUX,7.001,19.561,21.795,2.234,14.794
LVA,7.238,40.34,34.827,-5.513,27.589001
MAC,0,0,0,0,0
MAR,51.988,48.998,63.667,14.669,11.679
MDA,24.609,26.852,41.968,15.116,17.358999
MDG,32.75,31.796,35.559,3.763,2.809
MDV,38.335,60.433,72.884,12.451,34.549
MEX,37.534,42.229,54.002,11.773,16.468
MHL,41.45,36.841,33.364,-3.477,-8.0860004
MKD,23.525,24.065,38.594,14.529,15.069
MLI,17.548,25.371,36.262,10.891,18.714001
MLT,62.39,67.631,63.666,-3.9649999,1.276
MMR,62.424,49.609,32.043,-17.566,-30.381001
MNE,27.503,40.661,66.405,25.743999,38.902
MOZ,35.99,43.208,74.816,31.608,38.826
MRT,86.155,86.925,78.113,-8.8120003,-8.0419998
MUS,47.283,52.038,58.113,6.0749998,10.83
MWI,47.383,52.874,83.43300000000001,30.559,36.049999
MYS,39.907,51.94,57.405,5.4650002,17.497999
NAM,20.06,15.855,27.157,11.302,7.0970001
NER,25.148,24.29,43.538,19.247999,18.389999
NIC,31.589,30.872,31.175,.303,-.414
NLD,42.376,59.006,67.613,8.6070004,25.237
NOR,49.201,42.366,27.941,-14.425,-21.26
NPL,43.214,34.036,28.668,-5.368,-14.546
NZL,14.505,26.865,30.361,3.4960001,15.856
OMN,7.105,5.853,20.632,14.779,13.527
PAK,52.586,61.464,64.40000000000001,2.9360001,11.814
PAN,49.961,40.212,38.773,-1.439,-11.188
PER,31.87,25.403,23.064,-2.339,-8.8059998
PHL,44.64,43.462,37.13,-6.3319998,-7.5100002
PNG,33.668,25.592,40.807,15.215,7.1389999
POL,44.183,53.327,51.289,-2.0380001,7.1059999
PRI,36.897,48.339,53.092,4.7529998,16.195
PRT,68.43899999999999,96.18300000000001,128.785,32.602001,60.346001
PRY,18.142,15.607,23.829,8.2220001,5.6869998
QAT,8.928000000000001,41.842,35.795,-6.0469999,26.867001
ROU,12.652,30.535,39.446,8.9110003,26.794001
RUS,8.069000000000001,10.637,17.712,7.0749998,9.6429996
RWA,26.709,22.557,34.625,12.068,7.9159999
SAU,17.115,8.448,5.809,-2.6389999,-11.306
SDN,70.711,73.116,68.931,-4.1849999,-1.78
SEN,23.485,35.515,56.829,21.313999,33.344002
SGP,84.717,97.035,98.24,1.205,13.523
SLB,43.906,28.931,10.37,-18.561001,-33.535999
SLE,42.166,46.849,46.119,-.73000002,3.9530001
SLV,38.031,49.664,58.915,9.2510004,20.884001
SMR,11.439,17.538,18.772,1.234,7.3330002
SRB,33.436,43.679,77.432,33.752998,43.995998
STP,101.364,75.26000000000001,82.491,7.2309999,-18.872999
SUR,17.377,18.47,43.322,24.851999,25.945
SVK,29.898,40.815,52.634,11.819,22.736
SVN,22.704,37.892,83.26900000000001,45.376999,60.564999
SWE,38.109,37.588,44.138,6.5500002,6.0289998
SWZ,15.96,13.496,17.389,3.8929999,1.429
SYC,130.749,81.89400000000001,68.09,-13.804,-62.659
SYR,42.672,30.024,,,
TCD,22.15,30.123,39.314,9.191,17.164
TGO,107.784,49.914,61.888,11.974,-45.896
THA,35.985,39.859,43.108,3.2490001,7.1230001
TJK,34.603,36.342,35.905,-.43700001,1.302
TKM,2.416,4.114,23.276,19.162001,20.860001
TTO,26.093,33.831,51.061,17.23,24.968
TUN,45.941,40.664,54.502,13.838,8.5609999
TUR,39.907,42.335,32.609,-9.7259998,-7.2979999
TUV,34.464,55.635,48.968,-6.6669998,14.504
TWN,32.055,36.745,38.267,1.522,6.2119999
TZA,21.598,27.343,40.549,13.206,18.951
UGA,19.558,22.939,35.359,12.42,15.801
UKR,11.815,40.626,80.18300000000001,39.556999,68.367996
URY,67.985,59.412,61.818,2.4059999,-6.1669998
USA,64.01300000000001,94.73,105.827,11.097,41.813999
UVK,24.813,15.628,19.183,3.5550001,-5.6300001
UZB,15.786,9.961,10.694,.73299998,-5.092
VCT,55.524,65.449,73.58799999999999,8.1389999,18.063999
VEN,29.101,34.621,48.776,14.155,19.674999
VNM,40.897,48.084,59.294,11.21,18.396999
VUT,19.11,19.355,20.496,1.141,1.386
WSM,31.666,45.156,55.491,10.335,23.825001
YEM,40.408,42.38,68.56,26.18,28.152
ZAF,27.061,34.675,50.06,15.385,22.999001
ZMB,21.932,18.892,52.949,34.056999,31.017
ZWE,50.061,63.192,53.014,-10.178,2.9530001
